"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2025-07-17T20:07:54+00:00","7177217442",,"403-1481159-8922730","CustomerReturn","MD-R60M-OYR1","X002326XGB","B0786KK4TG","Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Bleu","NewItem","EUR","11.15","11.15","1","0","1",,
"2025-07-11T07:02:13+00:00","7157121502",,"406-5304369-9769900","CustomerReturn","MD-R60M-OYR1","X002326XGB","B0786KK4TG","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul","NewItem","EUR","8.37","8.37","1","0","1",,
"2025-07-09T17:40:03+00:00","7153083252",,,"Lost_Warehouse","MD-R60M-OYR1","X002326XGB","B0786KK4TG","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","NewItem","EUR","7.78","7.78","1","0","1",,
"2025-07-06T10:36:22+00:00","7143079222",,"402-5963325-2618705","CustomerReturn","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco","NewItem","EUR","10.74","10.74","1","0","1",,
"2025-07-05T05:01:55+00:00","7139431162",,,"Lost_Warehouse","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","NewItem","EUR","8.62","8.62","1","0","1",,
"2025-06-28T12:29:56+00:00","7119625392",,,"Reimbursement_Reversal","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","NewItem","EUR","-21.64","-21.64","-1","1","0","6922342482","CustomerReturn"
"2025-06-27T03:59:32+00:00","7116133062",,"404-9112045-9994751","CustomerReturn","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","NewItem","EUR","11.34","11.34","1","0","1",,
"2025-06-25T21:32:08+00:00","7112470892",,"402-4534389-5023529","CustomerReturn","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","NewItem","EUR","11.34","11.34","1","0","1",,
"2025-06-24T21:19:30+00:00","7109045452",,"303-4987982-0083556","CustomerReturn","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","NewItem","EUR","17.53","17.53","1","0","1",,
"2025-06-15T16:14:13+00:00","7081862452",,,"Lost_Warehouse","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","NewItem","EUR","7.31","7.31","1","0","1",,
"2025-06-12T01:26:05+00:00","7072065522",,"407-5384036-8085936","CustomerReturn","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Blanc","NewItem","EUR","8.87","8.87","1","0","1",,
"2025-06-11T16:45:43+00:00","7071252632",,"404-6358516-1725167","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","NewItem","EUR","21.64","21.64","1","0","1",,
"2025-06-10T20:17:03+00:00","7068905672",,,"Lost_Warehouse","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","NewItem","EUR","8.62","8.62","1","0","1",,
"2025-06-01T09:06:02+00:00","7042975912",,"405-5790087-5333154","CustomerReturn","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","NewItem","EUR","11.34","11.34","1","0","1",,
