"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","DUS4","DE","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.0599","0.0","EUR","0.0599","Others","N","N","0.0","--","0.0"
"B0D1Z9TGWZ","X00209ZLGP","TUBOPLUS 29PSI X4e (keine Luftpumpe im Lieferumfang enthalten)","DUS4","DE","30.8","9.0","8.9","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","1.0","0.0","0.0025","2025-03","5.0","weeks","27.54","0.0","1.0","0.0025","0.0677","0.0","EUR","0.0677","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (ohne Luftpumpe)","DUS4","DE","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.0","0.0","0.0019","2025-03","5.0","weeks","27.54","0.0","0.74","0.0014","0.053","0.0","EUR","0.053","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","DUS4","DE","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0014","cubic meters","Standard-Size","0.16","0.0","2.0E-4","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.0063","0.0","EUR","0.0063","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","FRA3","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.16","0.0","4.0E-4","2025-03","5.0","weeks","27.54","0.0","0.16","4.0E-4","0.0106","0.0","EUR","0.0106","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","FRA3","DE","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","0.45","0.0","0.001","2025-03","5.0","weeks","27.54","0.0","0.45","0.001","0.0294","0.0","EUR","0.0294","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","FRA7","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","2.0","0.0","0.0043","2025-03","5.0","weeks","27.54","0.0","1.39","0.003","0.1189","0.0","EUR","0.1189","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","FRA7","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.39","0.0","9.0E-4","2025-03","5.0","weeks","27.54","0.0","0.39","9.0E-4","0.0233","0.0","EUR","0.0233","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","FRA7","DE","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","0.42","0.0","9.0E-4","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.025","0.0","EUR","0.025","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (ohne Luftpumpe)","FRA7","DE","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.0","0.0","0.0019","2025-03","5.0","weeks","27.54","0.0","0.65","0.0012","0.0528","0.0","EUR","0.0528","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","HAM2","DE","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","3.0","0.0","0.0049","2025-03","5.0","weeks","27.54","0.0","1.45","0.0024","0.1323","0.0","EUR","0.1323","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","HAM2","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-03","5.0","weeks","27.54","0.0","0.61","0.0013","0.0591","0.0","EUR","0.0591","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","HAM2","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-03","5.0","weeks","27.54","0.0","1.0","0.0022","0.0599","0.0","EUR","0.0599","Others","N","N","0.0","--","0.0"
"B0BTDSDQC5","X001PQPPUB","TUBOPLUS Tubox3 (ohne Pumpe) – Druckverstärker für Paddel- und Tennisbälle | 3-Ball-Beutel | Paddelzubehör","HAM2","DE","24.0","8.4","8.3","centimeters","0.37","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2025-03","5.0","weeks","27.54","0.0","1.0","0.0017","0.0455","0.0","EUR","0.0455","Others","N","N","0.0","--","0.0"
"B0BTDTN52N","X001PQRHT3","TUBOPLUS TuboX3 Tennis- und Padel-Drucker, Farbe Rosa","HAM2","DE","20.0","8.5","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-03","5.0","weeks","27.54","0.0","1.0","0.0014","0.0389","0.0","EUR","0.0389","Others","N","N","0.0","--","0.0"
